parent,child
emlak,konut
emlak,işyeri
emlak,arsa
konut,satılık
konut,kiralık
konut,günlük-kiralık
satılık,daire
satılık,villa
kiralık,daire
kiralık,villa

vasita,otomobil
vasita,motosiklet
vasita,ticari
otomobil,suv
otomobil,sedan
motosiklet,scooter
motosiklet,enduro
ticari,kamyon
ticari,minibüs

is-ilanlari,muhendis
is-ilanlari,öğretmen
is-ilanlari,satış-temsilcisi
is-ilanlari,sekreter

ozel-ders-verenler,ilkokul
ozel-ders-verenler,lise
ozel-ders-verenler,üniversite

hayvanlar-alemi,evcil-hayvan
evcil-hayvan,kedi
evcil-hayvan,köpek
evcil-hayvan,kuş
evcil-hayvan,balık
evcil-hayvan,tavşan

yardimci-arayanlar,temizlik
yardimci-arayanlar,çocuk-bakımı
yardimci-arayanlar,yaşlı-bakımı

vasita,otomobil
vasita,motosiklet
vasita,ticari
otomobil,suv
otomobil,sedan
motosiklet,scooter
motosiklet,enduro
ticari,kamyon
ticari,minibüs

is-ilanlari,muhendis
is-ilanlari,öğretmen
is-ilanlari,satış-temsilcisi
is-ilanlari,sekreter

ozel-ders-verenler,ilkokul
ozel-ders-verenler,lise
ozel-ders-verenler,üniversite

hayvanlar-alemi,evcil-hayvan
evcil-hayvan,kedi
evcil-hayvan,köpek
evcil-hayvan,kuş
evcil-hayvan,balık
evcil-hayvan,tavşan

yardimci-arayanlar,temizlik
yardimci-arayanlar,çocuk-bakımı
yardimci-arayanlar,yaşlı-bakımı
